@relation osiptel-reclamos

@attribute TipRecurso numeric
@attribute FechaIngreso_2InstDay numeric
@attribute FechaIngreso_2InstMonth numeric
@attribute FechaIngreso_2InstYear numeric
@attribute FechaResolTRASU_Day numeric
@attribute FechaResolTRASU_Month numeric
@attribute FechaResolTRASU_Year numeric
@attribute Empresa numeric
@attribute Distrito numeric
@attribute Materia numeric
@attribute Submateria numeric
@attribute Servicio numeric
@attribute Sentido {1,2,3,4}

@data
1,17,3,2017,21,11,2017,1,2,5,3,10,4
1,18,4,2017,30,1,2018,1,32,15,9,10,2
0,8,11,2016,20,11,2017,1,8,32,65,10,4
0,29,5,2017,21,11,2017,1,11,24,41,10,4
1,5,6,2017,20,11,2017,16,32,15,14,10,4
0,31,5,2017,22,11,2017,12,9,32,65,10,4
0,5,12,2016,7,12,2017,16,14,24,41,9,4
0,15,5,2017,15,12,2017,1,32,24,41,10,4
0,5,12,2016,30,11,2017,1,13,42,105,10,1
1,25,1,2017,23,11,2017,18,18,15,9,10,4
1,28,10,2016,21,11,2017,1,7,15,20,10,3
1,26,5,2017,13,11,2017,16,28,15,9,10,4
0,4,5,2017,11,12,2017,1,5,32,65,10,4
1,6,10,2016,28,11,2017,1,43,17,65,10,4
0,12,7,2017,21,11,2017,12,36,24,41,10,4
1,4,5,2017,15,12,2017,16,24,15,9,10,3
0,26,5,2017,23,11,2017,16,32,24,41,9,4
0,7,6,2017,23,11,2017,1,35,24,41,10,4
0,8,6,2017,30,11,2017,16,15,24,41,2,4
0,4,5,2017,28,11,2017,1,7,24,41,10,2
1,9,12,2016,21,12,2017,16,15,15,89,9,4
0,5,6,2017,22,11,2017,1,33,24,41,10,4
0,10,7,2017,10,5,2018,1,7,24,41,10,2
0,9,6,2017,21,11,2017,1,40,35,65,10,1
0,18,12,2017,5,12,2017,1,18,32,65,10,1
1,19,1,2017,21,11,2017,1,40,5,3,10,4
1,1,6,2017,18,1,2018,1,14,5,3,9,4
0,5,6,2017,21,11,2017,16,21,24,68,9,4
1,21,11,2016,21,11,2017,1,36,15,9,10,4
1,19,5,2017,21,11,2017,1,15,15,9,10,4
0,13,7,2017,25,5,2018,1,11,24,41,10,2
1,2,5,2017,21,11,2017,18,25,17,65,10,4
0,11,5,2017,7,12,2017,12,4,32,65,10,4
1,3,4,2017,21,11,2017,1,35,15,20,10,4
1,7,6,2017,20,11,2017,1,7,15,89,9,4
1,7,6,2017,20,11,2017,1,8,15,9,10,3
0,15,5,2017,15,12,2017,1,2,24,41,10,4
1,15,12,2016,21,11,2017,1,28,15,20,10,4
1,22,3,2017,21,11,2017,1,40,5,3,10,4
1,9,6,2017,28,11,2017,1,14,15,20,10,3
0,31,3,2017,6,2,2018,1,15,42,105,10,2
0,6,6,2017,21,2,2018,18,28,42,65,10,2
0,12,7,2017,22,1,2018,1,11,24,41,10,4
1,2,2,2017,28,11,2017,1,40,15,96,10,4
0,14,7,2017,8,2,2018,18,15,24,39,11,2
1,21,2,2017,22,11,2017,16,15,15,9,9,4
1,30,1,2017,20,11,2017,1,15,41,106,10,4
0,2,6,2017,6,2,2018,16,32,24,41,9,4
1,12,6,2017,20,11,2017,1,14,15,9,10,4
0,2,6,2017,21,11,2017,1,32,24,41,10,4
0,26,5,2017,21,11,2017,16,20,24,41,9,4
1,20,2,2017,20,11,2017,1,24,41,106,9,4
1,23,1,2017,21,11,2017,1,7,15,9,10,3
1,29,5,2017,22,11,2017,16,13,15,9,10,4
1,28,2,2017,7,12,2017,1,17,15,20,10,4
1,17,1,2017,28,11,2017,16,35,15,9,10,4
0,4,7,2017,11,1,2018,16,36,24,41,9,4
1,24,1,2017,23,11,2017,1,4,11,65,10,4
1,2,5,2017,28,11,2017,1,33,15,9,10,4
1,9,6,2017,20,11,2017,1,35,15,9,10,3
0,28,6,2017,19,12,2017,1,36,24,41,9,2
1,24,3,2017,21,11,2017,1,20,5,3,10,4
0,23,6,2017,27,11,2017,16,7,24,41,9,4
1,13,3,2017,21,11,2017,1,13,15,20,10,4
0,3,11,2016,28,12,2017,1,35,35,65,9,2
1,21,2,2017,5,7,2018,16,32,15,9,10,4
1,23,5,2017,28,11,2017,16,15,15,9,9,4
0,3,7,2017,25,1,2018,16,9,24,41,9,4
0,3,7,2017,15,12,2017,16,15,24,41,9,4
1,26,6,2017,9,8,2018,1,37,15,9,10,4
1,23,6,2017,28,11,2017,16,36,15,89,9,4
1,3,2,2017,28,11,2017,1,17,11,65,10,4
1,16,3,2017,4,1,2018,1,43,15,103,10,4
0,18,7,2017,9,1,2018,1,33,24,41,10,4
1,24,4,2017,23,11,2017,1,14,15,103,10,4
1,12,6,2017,5,12,2017,1,11,15,9,10,4
0,9,6,2017,28,11,2017,1,33,24,41,10,4
0,13,7,2017,13,2,2018,1,32,24,41,9,2
0,20,4,2017,24,11,2017,16,15,24,41,9,4
1,5,6,2017,28,11,2017,16,15,15,89,9,4
0,13,6,2017,7,12,2017,1,9,32,65,10,4
0,22,6,2017,23,11,2017,1,15,32,65,10,4
1,5,5,2017,28,11,2017,16,13,15,9,10,4
1,12,12,2016,21,11,2017,1,12,15,10,10,3
1,12,12,2016,21,11,2017,1,12,15,9,10,3
0,7,3,2017,11,12,2017,1,35,24,41,10,4
1,8,5,2017,23,11,2017,16,43,15,10,10,4
1,7,3,2017,24,11,2017,1,18,17,65,9,4
1,8,6,2017,28,11,2017,1,15,9,65,10,4
1,16,6,2017,28,11,2017,1,7,15,103,10,4
1,19,6,2017,28,11,2017,1,35,15,14,10,3
1,8,5,2017,23,11,2017,1,7,15,14,10,4
1,8,5,2017,23,11,2017,1,7,15,9,10,4
1,7,6,2017,28,11,2017,16,15,8,17,9,4
0,12,6,2017,5,12,2017,1,35,35,65,10,4
1,24,3,2017,26,12,2017,1,37,15,9,10,4
1,13,2,2017,30,11,2017,18,24,5,3,10,4
0,11,7,2017,28,11,2017,1,7,32,65,10,4
1,30,3,2017,28,11,2017,1,2,5,3,10,4
0,19,7,2017,27,11,2017,1,43,24,41,10,4
0,12,7,2017,16,1,2018,16,4,24,41,10,4
1,30,1,2017,28,11,2017,16,30,3,65,9,4
1,8,6,2017,30,11,2017,1,22,15,10,10,4
0,20,7,2017,23,11,2017,16,35,24,41,9,4
0,17,7,2017,23,11,2017,1,42,24,41,10,4
0,15,6,2017,15,12,2017,16,30,24,41,9,4
0,4,7,2017,11,1,2018,12,5,24,41,10,4
0,5,7,2017,19,6,2018,16,12,24,41,9,4
0,16,6,2017,30,11,2017,12,37,32,65,10,4
1,26,4,2017,27,11,2017,1,10,15,9,10,4
0,12,7,2017,13,12,2017,1,35,32,65,10,4
0,25,5,2017,23,11,2017,1,30,24,41,10,4
0,16,6,2017,13,3,2018,1,25,24,41,10,2
1,1,2,2017,21,11,2017,1,10,15,9,10,2
1,31,3,2017,28,11,2017,1,28,5,3,10,4
0,4,7,2017,5,12,2017,16,15,24,41,10,4
1,7,4,2017,5,12,2017,1,36,5,3,10,4
0,16,6,2017,11,12,2017,1,28,24,41,10,4
0,17,7,2017,16,1,2018,16,30,24,41,10,4
0,25,5,2017,30,11,2017,12,5,32,65,10,4
1,27,3,2017,30,11,2017,1,31,15,97,10,4
1,28,4,2017,7,12,2017,1,10,15,9,10,4
0,25,5,2017,25,1,2018,1,40,24,41,11,4
0,26,7,2017,28,11,2017,12,2,24,41,10,4
0,18,7,2017,30,1,2018,12,11,24,41,10,2
1,26,6,2017,30,11,2017,12,2,5,3,10,4
1,27,1,2017,23,1,2018,1,15,47,65,10,4
1,22,6,2017,30,11,2017,12,33,8,74,10,4
1,27,6,2017,30,11,2017,1,14,15,103,10,4
0,21,7,2017,30,11,2017,1,35,24,41,10,4
1,16,3,2017,30,11,2017,1,33,5,3,10,4
1,14,2,2017,5,12,2017,12,41,9,65,10,4
0,5,7,2017,7,12,2017,1,43,24,41,10,4
1,28,4,2017,5,12,2017,16,35,19,65,9,4
1,1,6,2017,5,12,2017,18,15,15,9,10,4
1,3,5,2017,5,12,2017,1,20,15,9,10,4
1,30,5,2017,27,2,2018,5,7,15,9,2,2
1,28,3,2017,5,12,2017,1,15,15,9,10,4
1,10,4,2017,5,12,2017,1,33,5,3,10,4
1,4,5,2017,30,11,2017,16,35,15,89,9,4
1,27,4,2017,30,11,2017,1,2,5,3,10,4
0,10,7,2017,7,12,2017,12,11,32,65,10,4
0,14,7,2017,9,1,2018,1,17,24,41,10,3
1,16,12,2016,16,1,2018,1,35,20,65,10,2
1,3,11,2016,30,11,2017,1,4,9,65,9,2
1,7,4,2017,5,12,2017,1,13,5,3,10,4
1,27,2,2017,5,12,2017,1,13,15,9,2,4
1,22,3,2017,28,11,2017,16,33,15,24,10,4
0,27,12,2016,30,11,2017,1,28,24,41,10,2
1,9,6,2017,13,12,2017,1,28,15,9,10,3
0,22,5,2017,30,11,2017,1,32,24,41,10,4
1,8,5,2017,5,12,2017,16,5,15,89,9,4
0,13,12,2016,5,12,2017,1,2,24,41,10,2
0,19,7,2017,15,12,2017,1,35,24,41,10,4
1,15,3,2017,30,11,2017,5,15,15,21,6,4
0,25,7,2017,30,11,2017,16,20,24,41,9,4
1,8,6,2017,3,1,2018,16,37,15,99,10,3
1,22,6,2017,7,12,2017,1,35,15,20,10,4
1,23,1,2017,11,1,2018,10,2,15,89,13,3
0,28,2,2017,18,1,2018,1,16,24,41,10,4
0,14,6,2017,7,12,2017,16,9,24,41,10,4
0,14,6,2017,7,12,2017,16,35,24,41,9,4
1,26,6,2017,7,12,2017,16,2,15,9,10,4
1,13,6,2017,7,12,2017,18,10,15,9,10,4
0,2,8,2017,7,12,2017,1,2,24,41,10,4
1,26,5,2017,19,12,2017,16,4,15,89,9,3
0,2,8,2017,7,12,2017,16,11,24,41,10,4
1,13,6,2017,11,12,2017,16,15,15,89,9,4
1,13,6,2017,7,12,2017,16,5,15,9,10,3
1,11,11,2016,11,12,2017,1,24,47,65,10,4
0,19,7,2017,5,12,2017,1,16,24,41,9,4
0,23,5,2017,5,12,2017,1,32,42,65,10,4
0,13,7,2017,20,2,2018,1,28,24,41,9,4
0,31,7,2017,5,12,2017,16,30,24,41,9,4
1,21,12,2016,30,11,2017,5,41,15,19,6,4
1,26,12,2016,5,12,2017,16,40,15,89,13,4
0,23,5,2017,4,7,2018,1,32,42,105,10,2
0,24,5,2017,5,12,2017,1,11,42,65,10,4
1,28,12,2016,30,11,2017,1,25,8,17,10,4
1,18,4,2017,7,12,2017,1,2,5,3,10,4
1,23,6,2017,7,12,2017,1,32,15,9,10,4
1,3,3,2017,7,12,2017,10,21,5,3,3,4
1,10,4,2017,7,12,2017,1,20,5,3,10,4
1,16,6,2017,11,12,2017,1,33,15,9,10,4
0,31,5,2017,7,12,2017,1,4,32,65,10,4
1,8,2,2017,7,12,2017,1,40,47,65,10,4
0,26,7,2017,9,1,2018,16,33,24,41,10,4
1,20,2,2017,7,12,2017,1,34,19,65,10,4
1,29,12,2016,30,11,2017,1,31,15,21,9,2
0,23,6,2017,7,12,2017,16,33,24,41,9,4
0,30,3,2017,30,11,2017,16,2,24,41,9,4
1,3,5,2017,30,11,2017,1,40,9,65,10,4
1,10,3,2017,9,1,2018,16,37,15,9,10,3
1,19,4,2017,5,12,2017,1,35,15,9,10,3
0,3,7,2017,18,1,2018,16,34,24,41,9,4
0,15,6,2017,5,12,2017,14,35,24,41,9,4
0,31,5,2017,5,12,2017,1,33,24,41,10,4
1,17,4,2017,7,12,2017,1,17,5,3,10,4
1,11,11,2016,7,12,2017,1,35,19,65,10,4
1,23,2,2017,7,12,2017,16,32,15,9,10,4
1,1,3,2017,7,12,2017,16,36,15,9,3,4
1,28,2,2017,9,1,2018,16,34,15,36,10,4
0,10,11,2016,7,12,2017,1,9,42,105,10,4
1,7,7,2017,7,12,2017,12,16,15,9,10,4
0,14,11,2016,7,12,2017,16,31,24,41,9,4
1,14,7,2017,13,12,2017,1,15,15,9,10,4
0,19,4,2017,13,12,2017,1,42,24,41,10,4
1,4,1,2017,15,12,2017,16,7,15,89,13,4
0,4,7,2017,23,5,2018,1,22,24,69,10,2
1,15,9,2017,11,12,2017,16,3,15,89,9,3
1,14,8,2017,11,12,2017,16,9,15,9,10,3
1,18,8,2017,11,12,2017,16,25,15,9,10,3
0,11,4,2017,30,1,2018,1,35,42,65,10,2
0,13,7,2017,15,12,2017,1,32,24,41,10,4
1,11,8,2017,7,12,2017,16,15,15,89,9,3
1,22,9,2017,7,12,2017,16,10,15,89,9,3
0,12,5,2017,25,1,2018,1,11,24,41,10,4
1,15,9,2017,13,12,2017,16,3,15,89,9,3
1,25,10,2017,11,12,2017,16,6,15,89,9,3
0,19,1,2017,11,12,2017,16,15,15,9,9,2
0,4,5,2017,13,12,2017,12,32,24,41,10,2
1,17,2,2017,22,2,2018,1,35,44,65,11,2
0,17,7,2017,26,3,2018,16,15,24,41,9,4
1,6,10,2017,11,12,2017,16,28,15,89,9,3
0,28,6,2017,11,12,2017,1,35,24,41,10,2
0,3,11,2016,13,12,2017,1,2,24,41,10,4
1,17,8,2017,11,12,2017,16,2,15,9,10,3
1,20,7,2017,11,12,2017,16,5,15,9,10,3
1,20,7,2017,11,12,2017,16,17,15,9,10,3
1,21,4,2017,11,12,2017,1,4,5,3,10,4
1,11,7,2017,7,12,2017,16,32,15,9,10,4
1,14,2,2017,13,12,2017,1,30,25,47,9,3
1,21,4,2017,11,12,2017,1,36,5,3,10,4
0,2,6,2017,15,12,2017,16,4,24,68,9,4
1,15,8,2017,13,12,2017,16,41,15,9,10,3
1,3,8,2017,7,12,2017,16,28,15,9,10,3
1,7,8,2017,7,12,2017,16,2,15,9,10,3
1,3,2,2017,15,12,2017,1,2,47,65,10,4
1,13,7,2017,7,12,2017,16,10,15,89,9,3
1,16,3,2017,25,1,2018,1,15,15,5,10,3
1,16,3,2017,25,1,2018,1,15,15,20,10,3
0,3,8,2017,7,12,2017,1,35,24,41,10,4
0,17,7,2017,13,12,2017,1,28,24,41,9,4
1,15,9,2017,7,12,2017,16,3,15,89,9,3
1,4,1,2017,13,12,2017,16,9,15,89,2,4
1,4,1,2017,13,12,2017,16,9,15,27,13,4
1,7,2,2017,13,12,2017,18,1,15,9,10,4
0,17,10,2016,11,12,2017,5,30,24,41,2,2
1,11,5,2017,13,12,2017,12,33,15,9,10,4
0,4,7,2017,22,3,2018,16,32,24,41,10,4
1,19,6,2017,7,12,2017,16,9,15,9,10,3
1,22,6,2017,11,12,2017,16,30,15,9,10,3
0,9,6,2017,13,12,2017,1,6,42,65,10,4
1,19,10,2017,7,12,2017,16,21,15,9,13,4
1,19,10,2017,7,12,2017,16,21,25,47,13,4
1,29,9,2017,11,12,2017,16,43,15,89,9,3
1,1,3,2017,15,12,2017,1,37,15,10,10,4
0,14,12,2016,11,12,2017,1,43,24,41,10,2
1,26,9,2017,11,12,2017,16,40,15,89,9,3
1,22,9,2017,11,12,2017,16,40,15,89,9,3
1,23,6,2017,27,12,2017,16,14,15,9,9,3
1,9,12,2016,15,12,2017,12,15,15,9,10,4
1,4,10,2017,11,12,2017,16,43,15,89,9,3
0,3,2,2017,11,12,2017,1,35,24,41,9,2
1,16,10,2017,11,12,2017,16,40,15,89,9,3
1,19,10,2017,11,12,2017,16,32,15,89,9,3
0,25,1,2017,15,12,2017,1,20,32,65,10,4
1,26,5,2017,5,12,2017,1,17,15,5,10,4
1,21,6,2017,7,12,2017,1,14,15,14,9,4
1,20,2,2017,11,12,2017,1,42,15,20,10,4
1,31,5,2017,7,12,2017,16,28,15,9,10,4
1,8,5,2017,13,12,2017,12,32,41,107,10,4
0,3,8,2017,26,12,2017,16,36,24,41,9,4
1,23,5,2017,7,12,2017,16,13,15,20,10,4
1,16,5,2017,19,12,2017,12,32,47,65,10,4
0,4,4,2017,15,12,2017,18,33,24,41,10,4
1,18,7,2017,15,12,2017,1,32,15,27,10,3
1,3,7,2017,13,12,2017,16,10,35,73,9,3
1,26,9,2017,11,1,2018,16,42,15,89,9,3
0,8,11,2016,20,12,2017,1,42,32,65,10,4
1,27,4,2017,15,12,2017,1,25,5,3,10,4
1,2,2,2017,26,10,2017,1,36,5,3,10,4
1,1,6,2017,30,1,2018,1,17,15,14,9,4
0,4,8,2017,15,12,2017,12,15,24,41,10,4
1,4,5,2017,15,12,2017,1,36,5,3,10,4
0,7,7,2017,6,2,2018,16,19,24,41,10,4
0,4,8,2017,12,7,2018,1,35,24,41,10,3
1,27,9,2017,14,12,2017,16,4,15,89,9,3
1,9,2,2017,1,2,2018,1,32,15,89,9,2
1,27,10,2017,13,12,2017,16,36,15,9,10,3
1,17,7,2017,15,12,2017,1,9,5,3,10,3
0,14,6,2017,15,12,2017,1,43,24,41,10,2
1,9,6,2017,19,12,2017,1,9,15,9,10,3
0,17,4,2017,8,2,2018,16,20,24,41,2,4
1,24,5,2017,19,12,2017,1,36,5,3,10,4
1,15,5,2017,28,3,2018,1,21,5,3,9,4
1,6,6,2017,18,12,2017,18,35,15,9,10,4
1,12,7,2017,21,12,2017,1,10,15,9,10,4
1,1,8,2017,11,1,2018,16,11,15,9,10,3
1,31,1,2017,19,12,2017,16,2,15,9,2,4
1,18,8,2017,11,1,2018,16,43,15,9,10,3
1,24,3,2017,8,2,2018,1,31,47,65,10,2
1,15,8,2017,13,12,2017,16,10,15,89,9,3
1,19,5,2017,23,3,2018,16,34,15,10,10,4
1,7,9,2017,13,12,2017,16,40,15,89,9,3
1,12,5,2017,19,12,2017,16,41,15,9,10,4
1,20,9,2017,13,12,2017,16,32,15,89,9,3
0,4,7,2017,28,12,2017,1,12,24,41,10,4
1,12,7,2017,3,1,2018,16,12,15,9,10,3
1,15,6,2017,19,12,2017,16,30,15,89,9,4
0,24,5,2017,15,2,2018,1,32,24,41,9,4
1,19,5,2017,19,12,2017,1,33,15,9,10,4
0,24,5,2017,13,12,2017,1,32,24,41,10,4
1,7,12,2016,13,12,2017,1,32,15,9,10,2
0,4,8,2017,3,5,2018,12,11,24,41,10,2
1,4,8,2017,15,12,2017,16,35,15,9,10,3
1,17,5,2017,21,12,2017,16,12,15,89,9,4
0,12,6,2017,18,12,2017,1,41,24,41,10,4
1,5,7,2017,12,4,2018,12,15,15,9,10,4
0,28,6,2017,19,12,2017,1,35,24,41,10,2
0,8,8,2017,19,12,2017,1,41,24,41,10,4
0,2,8,2017,15,12,2017,12,24,24,39,10,4
1,28,8,2017,15,12,2017,16,1,15,9,10,3
0,7,11,2016,13,12,2017,12,17,32,65,10,4
1,12,5,2017,15,12,2017,1,11,9,65,10,4
0,14,6,2017,19,12,2017,12,15,33,65,10,4
1,2,6,2017,13,12,2017,16,10,35,65,13,3
1,29,3,2017,15,12,2017,12,7,15,10,10,4
0,24,1,2017,11,12,2017,18,12,24,41,10,4
1,25,4,2017,13,12,2017,16,35,35,65,9,3
1,4,4,2017,13,12,2017,16,15,15,9,9,3
1,7,7,2017,13,12,2017,16,15,15,9,10,4
0,2,5,2017,19,12,2017,16,35,24,41,10,4
1,17,3,2017,15,12,2017,16,2,15,9,10,3
1,6,6,2017,21,12,2017,1,25,5,3,10,4
1,7,7,2017,15,12,2017,16,33,15,9,10,3
1,22,5,2017,21,12,2017,12,33,15,15,10,3
0,29,3,2017,19,12,2017,16,28,24,41,9,4
0,14,6,2017,16,1,2018,18,36,24,41,10,4
1,25,8,2017,15,12,2017,16,9,15,9,10,3
1,16,3,2017,21,12,2017,18,22,5,3,11,4
1,4,9,2017,15,12,2017,16,35,8,17,10,3
1,27,12,2016,12,4,2018,16,31,15,97,10,4
0,4,8,2017,21,12,2017,1,7,24,41,9,4
1,5,10,2017,19,12,2017,16,25,15,89,9,3
1,5,6,2017,26,12,2017,1,13,9,65,10,4
1,28,9,2017,19,12,2017,16,14,15,89,9,3
1,18,10,2017,19,12,2017,16,43,15,89,9,3
1,21,9,2017,19,12,2017,16,37,15,89,9,3
1,19,10,2017,19,12,2017,16,33,15,89,9,3
1,31,1,2017,21,12,2017,12,15,15,10,10,4
1,31,1,2017,21,12,2017,12,15,37,38,10,4
1,31,1,2017,21,12,2017,12,15,15,9,10,4
0,29,11,2016,21,12,2017,18,32,32,65,10,4
1,4,7,2017,19,12,2017,16,43,15,9,10,3
1,28,2,2017,1,3,2018,16,24,15,21,9,4
1,21,7,2017,11,1,2018,16,15,15,89,9,3
0,4,5,2017,21,12,2017,1,35,24,41,10,4
0,11,7,2017,19,12,2017,16,35,24,41,10,4
1,18,5,2017,21,12,2017,1,40,15,9,10,4
0,2,6,2017,19,12,2017,1,9,24,41,9,2
0,7,8,2017,19,12,2017,1,2,32,65,10,4
1,2,3,2017,27,12,2017,1,16,21,65,2,3
1,11,8,2017,19,12,2017,16,10,15,9,10,3
1,16,1,2017,21,12,2017,1,40,21,65,10,4
0,12,7,2017,19,12,2017,1,11,42,105,10,4
0,7,8,2017,21,12,2017,1,6,24,41,10,4
1,21,7,2017,19,12,2017,16,35,15,9,10,4
0,7,12,2016,21,12,2017,2,15,41,65,10,4
1,17,3,2017,5,1,2018,16,40,15,10,10,4
1,17,3,2017,5,1,2018,16,40,15,9,10,4
1,31,3,2017,1,3,2018,1,21,15,9,10,2
0,24,4,2017,19,12,2017,1,2,24,41,10,2
1,5,7,2017,21,12,2017,16,15,17,65,9,4
0,8,8,2017,19,12,2017,16,32,24,41,10,4
1,29,9,2017,19,12,2017,16,33,15,9,10,3
1,5,1,2017,21,12,2017,1,41,41,65,10,4
0,17,4,2017,21,12,2017,12,43,42,65,10,4
1,15,9,2017,19,12,2017,16,30,15,9,10,3
0,11,7,2017,15,12,2017,16,15,24,41,10,4
0,27,4,2017,19,12,2017,1,32,35,65,10,2
1,20,2,2017,26,12,2017,12,14,15,9,10,4
1,22,3,2017,21,12,2017,1,32,9,65,10,4
1,28,4,2017,19,12,2017,16,33,15,9,10,3
0,10,7,2017,21,12,2017,1,36,24,41,10,4
1,6,6,2017,21,12,2017,1,37,5,3,10,4
0,11,7,2017,21,12,2017,1,7,24,41,10,4
1,29,8,2017,19,12,2017,16,33,15,89,9,3
0,22,6,2017,10,7,2018,12,5,24,41,10,3
0,10,7,2017,19,12,2017,1,17,32,65,10,4
1,29,3,2017,22,2,2018,1,42,9,65,10,4
0,19,12,2016,28,12,2017,1,42,42,65,13,4
1,10,3,2017,27,12,2017,16,32,15,91,2,4
1,26,6,2017,21,12,2017,16,16,15,89,9,3
0,4,5,2017,26,12,2017,16,13,24,41,9,4
0,6,7,2017,16,1,2018,1,43,24,41,10,4
1,26,5,2017,26,12,2017,16,33,15,9,10,4
0,24,1,2017,21,12,2017,1,17,41,106,10,2
0,15,2,2017,21,12,2017,1,14,24,41,10,2
1,9,10,2017,26,12,2017,16,31,15,9,10,3
1,9,1,2017,28,12,2017,1,36,9,65,10,4
0,22,3,2017,29,12,2017,1,30,24,41,10,4
0,5,4,2017,29,12,2017,18,2,42,65,10,2
1,24,4,2017,29,12,2017,1,36,5,3,10,4
0,4,5,2017,5,1,2018,12,2,24,41,10,4
1,20,4,2017,29,12,2017,1,35,5,3,10,4
0,21,6,2017,29,12,2017,1,40,24,41,10,2
1,14,2,2017,26,12,2017,1,41,5,3,10,4
1,17,8,2017,21,12,2017,16,35,15,9,10,3
1,17,8,2017,21,12,2017,16,4,15,9,10,3
